ksic_code,ksic_name,kapp_industry_tag,industry_label_ko,primary_jf_code,secondary_jf_codes,ib_scenario_key,mapping_method,review_status
13102,모 방적업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13103,화학섬유 방적업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13104,연사 및 가공사 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13109,기타 방적업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13211,면직물 직조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13212,모직물 직조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13213,화학섬유직물 직조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13219,특수 직물 및 기타 직물 직조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13221,침구 및 관련제품 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13222,자수제품 및 자수용재료 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13223,커튼 및 유사제품 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13224,"천막, 텐트 및 유사 제품 제조업",MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13225,직물포대 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13229,기타 직물제품 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13300,편조원단 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13401,솜 및 실 염색가공업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13402,"직물, 편조원단 및 의복류 염색 가공업",MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13403,날염 가공업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13409,섬유제품 기타 정리 및 마무리 가공업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
